Designator,Mid X,Mid Y,Rotation,Layer
JP6,289.329276,-104.049274,0.0,top
L1,260.929276,-86.087018,90.0,top
L2,86.329276,-123.787018,270.0,top
L3,132.302922,-105.766018,270.0,top
L4,267.029276,-65.207018,90.0,top
L5,245.029276,-99.487018,90.0,top
L6,192.421066,-64.587018,90.0,top
Q1,100.619276,-69.437018,90.0,top
Q2,100.719276,-100.437018,90.0,top
Q3,100.699276,-84.937018,90.0,top
Q4,100.499276,-53.937018,90.0,top
R1,254.029276,-103.987018,180.0,top
R10,106.829276,-100.787018,90.0,top
R100,198.229276,-117.212018,90.0,top
R101,162.729276,-117.387018,90.0,top
R102,152.629276,-122.987018,270.0,top
R103,209.729276,-123.212018,270.0,top
R104,174.029276,-123.087018,270.0,top
R105,188.329276,-123.287018,270.0,top
R106,199.029276,-123.112018,270.0,top
R107,163.529276,-123.187018,270.0,top
R108,152.629276,-127.687018,270.0,top
R109,209.729276,-128.012018,270.0,top
R11,91.929276,-74.987018,0.0,top
R110,174.029276,-127.724518,270.0,top
R111,188.329276,-127.924518,270.0,top
R112,199.029276,-127.812018,270.0,top
R113,163.529276,-127.887018,270.0,top
R114,152.629276,-132.387018,270.0,top
R115,209.729276,-132.712018,270.0,top
R116,174.029276,-132.424518,270.0,top
R117,188.329276,-132.587018,270.0,top
R118,199.029276,-132.512018,270.0,top
R119,163.529276,-132.587018,270.0,top
R12,106.029276,-98.487018,180.0,top
R120,152.629276,-137.187018,270.0,top
R121,209.729276,-137.312018,270.0,top
R122,174.029276,-137.162018,270.0,top
R123,188.329276,-137.224518,270.0,top
R124,199.029276,-137.212018,270.0,top
R125,163.529276,-137.287018,270.0,top
R126,187.119276,-68.967018,0.0,top
R127,192.899276,-61.687018,180.0,top
R128,192.889276,-62.667018,180.0,top
R129,181.439276,-68.267018,90.0,top
R13,260.629276,-115.687018,0.0,top
R130,182.579276,-68.267018,90.0,top
R131,208.844276,-66.7,180.0,top
R132,208.859276,-65.7,180.0,top
R133,200.454276,-45.287018,0.0,top
R134,193.029276,-52.887018,270.0,top
R135,190.879276,-56.577018,180.0,top
R136,227.154276,-95.387018,180.0,top
R137,230.354276,-95.387018,180.0,top
R138,298.769276,-53.047018,0.0,top
R139,298.679276,-49.797018,0.0,top
R14,260.429276,-112.387018,0.0,top
R140,114.729276,-55.987018,270.0,top
R141,111.459276,-59.777018,0.0,top
R142,228.504276,-99.442017,270.0,top
R143,210.5,-57.0,0.0,top
R144,111.429276,-61.447018,180.0,top
R145,266.4,-136.7,270.0,top
R146,254.4,-130.7,270.0,top
R148,329.304276,-134.322018,0.0,top
R149,329.304276,-132.722018,0.0,top
R15,129.529276,-70.427018,0.0,top
R150,330.454276,-141.927018,270.0,top
R16,90.829276,-104.387018,0.0,top
R17,90.029276,-134.287018,180.0,top
R18,101.532199,-111.781166,270.0,top
R19,99.929276,-111.787018,270.0,top
R2,114.629276,-117.587018,0.0,top
R20,260.239276,-72.767018,270.0,top
R21,258.639276,-72.762018,90.0,top
R22,282.386776,-124.187018,0.0,top
R23,284.961776,-126.097018,0.0,top
R24,98.209276,-108.137018,270.0,top
R25,101.529276,-108.162018,270.0,top
R26,125.251599,-100.947018,180.0,top
R27,123.341599,-100.947018,180.0,top
R28,151.599276,-62.857018,90.0,top
R29,149.099276,-62.857018,90.0,top
R3,253.929276,-110.937018,180.0,top
R30,277.929276,-102.587018,270.0,top
R31,274.029276,-112.387018,0.0,top
R32,125.429276,-135.087018,180.0,top
R33,288.729276,-92.087018,180.0,top
R34,106.729276,-85.487018,90.0,top
R35,126.004276,-85.487018,180.0,top
R36,106.729276,-54.387018,90.0,top
R37,105.929276,-83.087018,180.0,top
R38,105.929276,-51.987018,180.0,top
R39,92.459276,-89.967018,0.0,top
R4,114.629276,-120.387018,0.0,top
R40,87.329276,-49.712018,270.0,top
R41,265.539276,-74.067018,90.0,top
R42,264.009276,-75.617018,270.0,top
R43,285.726776,-124.187018,180.0,top
R44,287.976776,-126.087018,180.0,top
R45,275.429276,-77.287018,0.0,top
R46,116.149276,-46.837018,0.0,top
R47,116.034276,-48.897018,0.0,top
R48,275.454276,-82.887018,180.0,top
R49,275.454276,-80.387018,180.0,top
R5,106.629276,-69.962018,90.0,top
R50,275.429276,-85.587018,0.0,top
R51,130.619276,-47.337018,90.0,top
R52,130.609276,-50.837018,270.0,top
R53,251.629276,-62.287018,180.0,top
R54,266.709276,-67.667018,0.0,top
R55,221.429276,-53.287018,90.0,top
R56,219.529276,-53.287018,90.0,top
R57,233.329276,-111.087018,180.0,top
R6,95.454276,-134.387018,180.0,top
R66,234.529276,-112.587018,180.0,top
R68,263.719276,-70.107018,0.0,top
R69,229.879276,-124.317018,0.0,top
R7,106.029276,-67.587018,180.0,top
R70,267.519276,-61.587018,180.0,top
R71,267.529276,-62.587018,180.0,top
R72,229.869276,-122.677018,0.0,top
R73,236.629276,-124.687018,90.0,top
R74,265.539276,-58.667018,180.0,top
R76,272.584276,-59.182018,90.0,top
R77,114.629276,-88.087018,180.0,top
R78,228.729276,-121.087018,180.0,top
R79,298.629276,-67.887018,0.0,top
R8,261.129276,-119.187018,0.0,top
R80,298.629276,-64.887018,0.0,top
R81,114.529276,-72.887018,180.0,top
R82,114.829276,-81.087018,180.0,top
R83,114.729276,-65.687018,180.0,top
R84,232.229276,-133.987018,180.0,top
R85,235.804276,-49.487018,0.0,top
R87,178.029276,-103.612018,270.0,top
R88,177.999276,-106.722018,270.0,top
R89,188.729276,-99.687018,0.0,top
R9,261.029276,-122.587018,0.0,top
R90,188.729276,-98.087018,0.0,top
R92,177.329276,-61.787018,180.0,top
R93,191.569276,-67.427018,270.0,top
R94,175.629276,-83.787018,180.0,top
R95,161.429276,-70.087018,270.0,top
R96,151.829276,-117.162018,90.0,top
R97,208.929276,-117.312018,270.0,top
R98,173.379276,-117.312018,90.0,top
R99,187.429276,-117.387018,90.0,top
SW1,228.122609,-48.450518,270.0,top
SW2,221.332609,-48.490518,270.0,top
SW3,170.654276,-78.987018,270.0,top
SW4,163.864276,-79.027018,270.0,top
TH1,346.529276,-92.891791,180.0,top
TH2,346.529276,-102.391791,180.0,top
TH3,346.529276,-111.891791,180.0,top
TH4,319.229276,-92.791791,180.0,top
TH5,319.229276,-102.291791,180.0,top
TH6,319.329276,-111.891791,180.0,top
TR1,260.6,-132.2,180.0,top
TR2,343.339276,-125.257018,180.0,top
U1,111.729276,-84.587018,180.0,top
U10,127.629276,-123.987018,270.0,top
U11,111.729276,-69.187018,180.0,top
U12,124.929276,-46.967018,270.0,top
U13,124.929276,-51.132018,270.0,top
U14,258.769276,-62.190518,270.0,top
U15,244.749276,-117.287018,270.0,top
U16,232.789776,-117.560018,270.0,top
U17,233.549276,-125.397018,270.0,top
U18,189.629276,-113.087018,0.0,top
U19,172.729276,-113.187018,0.0,top
U2,140.099276,-72.287018,0.0,top
U20,184.195943,-61.587018,270.0,top
U21,229.154276,-90.787018,270.0,top
U22,218.304276,-97.352018,180.0,top
U23,323.729276,-133.387018,0.0,top
U24,322.454276,-144.452018,180.0,top
U3,121.610922,-104.266018,180.0,top
U4,268.649276,-93.794518,0.0,top
U5,267.244276,-106.084518,0.0,top
U6,267.054276,-116.422018,90.0,top
U7,267.054276,-112.987018,90.0,top
U8,267.029276,-119.854518,270.0,top
U9,267.029276,-123.284518,270.0,top
Y1,246.902609,-61.990518,180.0,top
Y2,172.329276,-61.387018,180.0,top
