Designator,Mid X,Mid Y,Rotation,Layer
R63,395.015,-242.76,180.0,top
R64,395.03,-241.63,180.0,top
R65,410.5,-264.9,180.0,top
R66,446.41,-250.38,270.0,top
R67,444.81,-250.375,90.0,top
R68,416.02,-303.56,0.0,top
R69,293.8,-229.65,180.0,top
R7,425.9745,-312.356,180.0,top
R70,273.5,-227.325,270.0,top
R71,302.205,-226.51,0.0,top
R72,446.12,-301.38,0.0,top
R73,316.78,-228.45,270.0,top
R74,283.57,-313.83,180.0,top
R75,311.27,-247.395,270.0,top
R76,282.77,-304.98,270.0,top
R77,471.865,-276.43,0.0,top
R78,302.32,-224.45,0.0,top
R79,414.9,-298.8,180.0,top
R8,422.5455,-307.53,180.0,top
R80,373.29,-246.58,0.0,top
R81,365.1625,-268.86,0.0,top
R82,370.66,-261.42,180.0,top
R83,440.41,-281.66,0.0,top
R84,440.1,-288.55,0.0,top
R85,371.48,-259.84,180.0,top
R9,422.5465,-312.356,180.0,top
R90,404.78,-273.1,180.0,top
R94,461.05,-257.01,270.0,top
R97,470.79,-256.67,270.0,top
R98,459.5,-321.14,0.0,top
R99,454.49,-321.16,0.0,top
SW1,339.72,-225.46,270.0,top
SW2,332.93,-225.5,270.0,top
SW3,414.293333,-226.0635,270.0,top
SW4,407.503333,-226.1035,270.0,top
TH1,506.000024,-248.68,0.0,top
TH2,506.000024,-259.59,0.0,top
TH3,506.000024,-270.5,0.0,top
TH4,506.000024,-281.41,0.0,top
TH5,506.000024,-292.32,0.0,top
TH6,506.000024,-303.23,0.0,top
TR10,447.24,-313.2,0.0,top
U1,394.0,-257.2625,270.0,top
U10,453.17,-302.07,0.0,top
U11,370.366667,-239.2,270.0,top
U12,367.055,-275.24,270.0,top
U13,453.385,-288.3,270.0,top
U15,299.0,-277.0525,0.0,top
U17,307.759323,-303.619,180.0,top
U2,369.895,-266.08,180.0,top
U20,453.17,-305.5,0.0,top
U21,326.27,-249.9,180.0,top
U22,430.92,-294.9,90.0,top
U23,299.0,-261.6,0.0,top
U24,454.79,-276.01,180.0,top
U25,299.0,-245.3,0.0,top
U26,299.0,-230.5,0.0,top
U27,444.94,-239.8035,270.0,top
U28,393.35,-267.965,90.0,top
U29,467.17,-265.4575,180.0,top
U3,419.72,-303.01,270.0,top
U30,466.0,-257.9,270.0,top
U32,404.2,-261.4,180.0,top
U4,418.9605,-295.173,180.0,top
U5,311.1,-224.58,0.0,top
U6,345.11,-265.84,90.0,top
U7,311.1,-228.745,0.0,top
U8,453.17,-295.2,180.0,top
U9,453.17,-298.59,180.0,top
Y1,358.5,-239.0,180.0,top
Y2,433.073333,-239.6035,180.0,top
